model_id,language,weat_category_id,layer_idx,weat_score,comments
meta-llama/Llama-3.2-1B,hindi,WEAT1,0,0.30814448,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,1,0.3137526,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,2,-0.037317324,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,3,0.07903919,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,4,0.19733384,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,5,0.14831679,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,6,0.10601928,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,7,0.032158334,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,8,0.015054452,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,9,-0.005187201,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,10,0.09187866,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,11,0.13170367,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,12,0.1792343,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,13,0.2284993,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,14,0.2536226,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT1,15,-0.09661664,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,0,0.32782346,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,1,0.63302445,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,2,0.6856607,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,3,0.68505615,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,4,0.6913866,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,5,0.6411435,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,6,0.5514752,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,7,0.5963632,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,8,0.70265657,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,9,0.76728916,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,10,0.6413117,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,11,0.6498784,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,12,0.6344633,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,13,0.55878526,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,14,0.5564393,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT2,15,0.610025,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,0,0.2873778,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,1,0.088111885,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,2,-0.036846455,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,3,0.09911649,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,4,-0.031542532,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,5,-0.14892262,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,6,-0.377664,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,7,-0.30626753,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,8,-0.44105738,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,9,-0.50042456,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,10,-0.26183605,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,11,-0.3505099,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,12,-0.52952754,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,13,-0.31241432,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,14,-0.5059792,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,hindi,WEAT6,15,-0.39698577,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,0,-0.60226774,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,1,-0.52701783,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,2,-0.55106497,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,3,-0.4806252,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,4,-0.46559498,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,5,-0.39646095,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,6,-0.43091652,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,7,-0.3911638,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,8,-0.39921066,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,9,-0.32461613,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,10,-0.24738497,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,11,-0.23279954,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,12,-0.19776483,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,13,-0.2259124,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,14,-0.30766958,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT1,15,-0.41005477,After epoch 4 hindi finetune on Llama-3.2-1B
meta-llama/Llama-3.2-1B,english,WEAT2,0,-0.6935543,After epoch 4 hindi finetune on Llama-3.2-1B
