model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,0,0.39859122,0.0050993925,0,0,0.03004233,0.258630133195875,0.5385523075618764,5.581726,2.3814324290327704e-08,1.1907162145163852e-08,True,True,16,0.00015256696,0.96901244,0.051027536,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer0
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,1,0.8359027,0.0054384475,0,0,0.51169556,0.6913635164570102,0.9804418653178921,11.334914,0.0,0.0,True,True,16,0.0027770712,0.9369969,0.15850383,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer1
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,2,1.2360176,0.00595812,0,0,0.88171977,1.084730205269417,1.3873049643320234,16.012901,0.0,0.0,True,True,16,0.005291627,0.9412123,0.25375962,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer2
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,3,1.4861594,0.0063862028,0,0,1.4492452,1.3295314298271304,1.642787457883441,18.59705,0.0,0.0,True,True,16,0.009254162,0.93538743,0.27240705,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer3
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,4,1.4640266,0.006345505,0,0,1.486866,1.3078984271224117,1.6201547135178471,18.378746,0.0,0.0,True,True,16,0.009544738,0.93339366,0.30350375,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer4
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,5,1.5003134,0.0064124404,0,0,1.3979244,1.3433639634305623,1.6572628390138957,18.735718,0.0,0.0,True,True,16,0.009005121,0.93686056,0.2927003,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer5
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,6,1.5724797,0.006551025,0,0,1.3658667,1.4138433781951298,1.7311160715729366,19.428104,0.0,0.0,True,True,16,0.008896937,0.9401176,0.33918858,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer6
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,7,1.5481018,0.006504548,0,0,1.6386235,1.3900291652892103,1.706174400308324,19.195126,0.0,0.0,True,True,16,0.010425434,0.93417645,0.41414404,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer7
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,8,1.5156124,0.0064398674,0,0,1.0416272,1.3583276295339775,1.6728970980966378,18.886421,0.0,0.0,True,True,16,0.0066975644,0.946073,0.29751813,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer8
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,9,1.5505626,0.0065058647,0,0,0.7899329,1.3924739979082883,1.7086512424176394,19.223692,0.0,0.0,True,True,16,0.0051760925,0.9536468,0.25998557,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer9
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,10,1.6085709,0.0066191307,0,0,0.4696157,1.4491121092266874,1.7680297574572725,19.771505,0.0,0.0,True,True,16,0.0031100851,0.965351,0.20577657,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer10
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,11,1.5696446,0.006541757,0,0,0.46279976,1.4111204759206193,1.7281686647806747,19.406809,0.0,0.0,True,True,16,0.0030241124,0.9649856,0.2409029,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer11
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,12,1.5429524,0.0064902757,0,0,0.57606876,1.3850533121147646,1.7008515245398985,19.1523,0.0,0.0,True,True,16,0.0037015337,0.960597,0.30370808,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer12
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,13,1.5724087,0.0065473593,0,0,0.50505316,1.413816707579375,1.7310006447155468,19.432663,0.0,0.0,True,True,16,0.0033439458,0.9632475,0.21746933,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer13
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,14,1.5117854,0.0064309826,0,0,0.63400215,1.3546091968415173,1.6689615791442005,18.851742,0.0,0.0,True,True,16,0.004094605,0.9577068,0.23191237,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer14
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT1,15,1.4641306,0.0063431207,0,0,0.83782476,1.3080318339972838,1.6202294460625306,18.383507,0.0,0.0,True,True,16,0.005358195,0.9500575,0.21161985,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT1_layer15
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT2,0,0.8550554,0.00545697,0,0,0.0059253285,0.7102702904305375,0.9998404931464279,11.574932,0.0,0.0,True,True,16,3.24664e-05,0.99333626,0.023539186,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer0
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT2,1,1.0827513,0.0057335007,0,0,0.2180129,0.9343430255603393,1.2311595226574341,14.299431,0.0,0.0,True,True,16,0.0012445875,0.9674263,0.13392103,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer1
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,hindi_bengali_finetuned,en,WEAT2,2,1.0706977,0.005721515,0,0,1.4035226,0.9224446305673297,1.2189506998617474,14.155048,0.0,0.0,True,True,16,0.0079623265,0.9168032,0.3519007,1600,100,Enhanced_CEAT_hindi_bengali_finetuned_en_WEAT2_layer2
