model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
cerebras/Cerebras-GPT-111M,base,en,WEAT1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer0
cerebras/Cerebras-GPT-111M,base,en,WEAT1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer1
cerebras/Cerebras-GPT-111M,base,en,WEAT1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer2
cerebras/Cerebras-GPT-111M,base,en,WEAT1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer3
cerebras/Cerebras-GPT-111M,base,en,WEAT1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer4
cerebras/Cerebras-GPT-111M,base,en,WEAT1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer5
cerebras/Cerebras-GPT-111M,base,en,WEAT1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer6
cerebras/Cerebras-GPT-111M,base,en,WEAT1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer7
cerebras/Cerebras-GPT-111M,base,en,WEAT1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer8
cerebras/Cerebras-GPT-111M,base,en,WEAT1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT1_layer9
cerebras/Cerebras-GPT-111M,base,en,WEAT2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer0
cerebras/Cerebras-GPT-111M,base,en,WEAT2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer1
cerebras/Cerebras-GPT-111M,base,en,WEAT2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer2
cerebras/Cerebras-GPT-111M,base,en,WEAT2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer3
cerebras/Cerebras-GPT-111M,base,en,WEAT2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer4
cerebras/Cerebras-GPT-111M,base,en,WEAT2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer5
cerebras/Cerebras-GPT-111M,base,en,WEAT2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer6
cerebras/Cerebras-GPT-111M,base,en,WEAT2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer7
cerebras/Cerebras-GPT-111M,base,en,WEAT2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,False,False,0,0,0,0,1600,100,Enhanced_CEAT_base_en_WEAT2_layer8
