model_id,language,weat_category_id,prompt_idx,layer_idx,entity1,entity2,attribute,attention_entity1,attention_entity2,prob_entity1,prob_entity2,bias_ratio,comments
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,0,aster,ant,caress,0.006893157958984375,0.00469207763671875,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer0
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,1,aster,ant,caress,0.00438690185546875,0.0013074874877929688,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer1
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,2,aster,ant,caress,0.00331878662109375,0.002017974853515625,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer2
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,3,aster,ant,caress,0.004726409912109375,0.0014829635620117188,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer3
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,4,aster,ant,caress,0.00691986083984375,0.002635955810546875,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer4
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,5,aster,ant,caress,0.00360107421875,0.00258636474609375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer5
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,6,aster,ant,caress,0.005870819091796875,0.00264739990234375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer6
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,7,aster,ant,caress,0.00630950927734375,0.0031585693359375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer7
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,8,aster,ant,caress,0.005603790283203125,0.00344085693359375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer8
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,9,aster,ant,caress,0.0028476715087890625,0.0011043548583984375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer9
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,10,aster,ant,caress,0.008392333984375,0.0033130645751953125,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer10
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,11,aster,ant,caress,0.00878143310546875,0.0017900466918945312,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer11
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,12,aster,ant,caress,0.038330078125,0.0034236907958984375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer12
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,13,aster,ant,caress,0.0195159912109375,0.0036029815673828125,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer13
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,14,aster,ant,caress,0.0288543701171875,0.006534576416015625,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer14
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,0,15,aster,ant,caress,0.0457763671875,0.0051116943359375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt0_layer15
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,0,aster,ant,freedom,0.007312774658203125,0.004520416259765625,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer0
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,1,aster,ant,freedom,0.00431060791015625,0.0013294219970703125,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer1
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,2,aster,ant,freedom,0.00325775146484375,0.0021820068359375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer2
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,3,aster,ant,freedom,0.00516510009765625,0.00150299072265625,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer3
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,4,aster,ant,freedom,0.0065460205078125,0.002758026123046875,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer4
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,5,aster,ant,freedom,0.004238128662109375,0.003448486328125,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer5
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,6,aster,ant,freedom,0.00769805908203125,0.0033931732177734375,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer6
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,7,aster,ant,freedom,0.007755279541015625,0.004795074462890625,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer7
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,8,aster,ant,freedom,0.005397796630859375,0.004180908203125,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer8
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,9,aster,ant,freedom,0.00278472900390625,0.0010137557983398438,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer9
Debk/Llama-3.2-1B-finetuned-alpaca-hindi-bengali_full,English,WEAT1,1,10,aster,ant,freedom,0.007442474365234375,0.0037670135498046875,7.909579124998345e-08,3.0339184377226047e-05,383.5752054282964,ATLAS_finetuned_en_WEAT1_prompt1_layer10
